clientid_cr,clmbuserid_cr,conversiontime_cr,imprid_cr,adslotdimid_cr,algo_cr,audiences_cr,clickbid_cr,geodimid_cr,ip_cr,itemcolumbiaid_cr,itemid_cr,position_cr,pubclientid_cr,refurl_cr,siteId_cr,templateid_cr,goalid_cr,time_cr,adLogType_cr,v_cr,allAudiences_cr,pricingtype_cr,osId_cr,browserId_cr,cityId_cr,stateId_cr,modelDimId_cr,lookUpFrom_cr,connTypeDimId_cr,ispDimId_cr,countryDimId_cr,goalTypeId_cr,conversionDurationInMillis_cr,impressionTimeInMillis_cr,clickTimeInMillis_cr,osVerDimId_cr,uuidSource_cr,geoGrpDimId_cr,stateGrpDimId_cr,deviceId_cr,uvh_cr,uv_cr,platformId_cr,sdkVersion_cr,usrClusterId_cr,cityGrpDimId_cr,siteClusterIds_cr,refClusterId_cr,paid_cr,spend_cr,attributionType_cr,conversionid_cr,optimize_on_cr,bundleId_cr,conversion_fraud
30431,01fd1a8a-c3f8-4b57-94ff-66318d0f63c7-1sjts,1.62E+12,12980fb3-8073-400e-ad4c-95db31937256-1sj4s,355768,21,,,144,XXX.XXX.XXX.XXX,5614054,53607445,1,1,,3296,,3370,1.62E+12,2,1,"761,75y",17,129311,129408,34703,1818,0,2,264496,136127,144,10,18936,1.62E+12,1.62E+12,360833,1,348011,348025,,,,,,,348009,,,1,275,1,,,,TRUE
82122,c6cee14f-3652-4786-a3e7-ba69d575f1f3-1siz8,1.62E+12,f4d028ac-67fb-42a4-b657-1773da6515ba-1siz8,233531,21,"8jr,nqv,8k8,2vk,8gw,3si",1,145,XXX.XXX.XXX.XXX,5526656,47263252,1,2658,https%3A%2F%2Ftimesofindia.indiatimes.com%2Fworld,3,2946,8628,1.62E+12,2,1,"8jr,h9r,3si,7dy,5bz,8ka,lo4,nqv,apc,o1v,358,5o2,gau,k8l,30b,8k8,k8q,2vk,58k,8gw,2vs,o24,2x9,9nj,446,5vy,id3,2ya,2yc",16,196061,0,0,2437,0,2,264494,150733,145,10,7382,1.62E+12,1.62E+12,0,1,348012,,,,,,,,,"333,734,128,527,333,000",,,,,,,,TRUE
82122,4c53d7be-7a92-43e6-8e18-9f6375237b07-3ppc,1.62E+12,f48ac3c7-4edf-478b-9233-96e82687a55f-h0hg,233531,21,,1,145,XXX.XXX.XXX.XXX,5526656,47164444,3,2658,https%3A%2F%2Ftimesofindia.indiatimes.com%2Fworld,3,2946,8628,1.62E+12,2,1,9nj,16,196061,0,0,2442,0,2,264494,265618,145,10,12499,1.62E+12,1.62E+12,0,1,348012,,,,,,,,,"333,734,128,527,333,000",,,,,,,,TRUE
30431,01fd1a8a-c3f8-4b57-94ff-66318d0f63c7-1sjts,1.62E+12,2b391e3b-1ae7-45a0-8e07-15d91c50be18-1sjwk,355768,21,,,144,XXX.XXX.XXX.XXX,5614054,53607445,1,1,,3296,,3370,1.62E+12,2,1,"761,75y",17,129311,129408,34703,1818,0,2,264496,136127,144,10,36006,1.62E+12,1.62E+12,360833,1,348011,348025,,,,,,,348009,,,1,275,1,,,,TRUE
75694,38f33cff-24aa-4208-b5fa-bbf661c0fa25-1sjio,1.62E+12,13eada8f-7c2f-4a11-869b-9302ca546d4a-h0k8,320284,39,"2x6,2vv,8k6,8k8,2vk,8gw,2vb,o3b",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2FJobDetailView.html,34,4070,6384,1.62E+12,2,1,"7dn,jyq,7du,o1m,o1o,nyw,nqo,o1n,pea,igm,lo4,qq3,nqu,qq5,apc,o1v,nqw,n8a,359,o1x,nqy,ii9,n8e,n8g,qxc,pg6,o2a,58k,qph,8gw,5au,761,ov9,on4,58x,59a,o3b,kmc,59e,35g,59j,35i,oul,kmk,omf,oun,ow0,kmj,kml,5bz,kmn,qqo,out,2w7,oux,411,5cc,75y,418,ovd,ovc,2vb,7gn,8iq,2vf,8k6,8k7,8k8,hhg,2vk,8ix,hhh,ovr,ovt,phe,phd,2vr,2x6,n2u,2vv,n2v,2vy,ibp,p09,ibv,n3b,l7o,n3i,l7r,ica,n3n,n3p,oy7,41j,2ws,oy9,n3s,p12,oos,p16,oou,p18,5o2,o6b,2xb,oxf,o6d,2xc,oxe,o6f,o6j,2xi,ljc,o6l,ljb,30b,o6n,aty,oxr,idc,6pc,2xp,6pd,2xq,k87,k89,2xs,o6v,idi,p8y,qv5,p8x,9nj,446,5vy,if5,5vz,30x,6hp,lbt,pbs,p1b,h9r,pbr,6hs,n5n,p9o,hst,p9q,quo,p9t,n5v,n5w,p1u,p1x,k8d,p1w,k8f,gau,43y,k8i,k8l,pe4,iez,2zh,pe8,k8o,ozs,o20,ozw,ozy,npr,32p,44t,32t,5ps,7di",16,196063,129639,440,1802,202038,2,264494,132991,144,10,6977,1.62E+12,1.62E+12,199414,1,348011,348021,,,,,,"333,495,128,491,333,000",348005,,,,,,,,,TRUE
75694,c0f6075e-b8df-438e-85d7-839dc5eb54a2-3ppc,1.62E+12,1529b26b-91b2-4926-a9f2-0260fdf48460-1sj7k,320283,39,8gw,2.79,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fjobbuzz.timesjobs.com%2Fcompany%2Fcapgemini-india-pvt-ltd,34,4072,6384,1.62E+12,2,1,"lo4,2w7,761,9nj,30b,58k,8gw,5o2,75y,k8i",16,196065,129467,439,1815,202149,2,264494,164681,144,10,3100,1.62E+12,1.62E+12,0,1,348011,348023,,,,,,,348007,,,,,,,,,TRUE
75694,5e3a578f-6c3b-487a-ae6d-8256acb52190-1siwg,1.62E+12,f37368a8-1713-4b2a-8176-0db56ce5325d-10oa0,339646,26,"o5f,8j6,3si,2wp,nqv,8kf,7gm,8gl,2vb,8gp,8is,8k6,8kv,2vh,8k8,eba,2vk,8gv,2vl,8gw,2x6,2vt,8jb,2vv,30r,joa,jod,o3b",3.1,144,XXX.XXX.XXX.XXX,5488773,49504157,180560643,2501,https%3A%2F%2Ftoidev8367.indiatimes.com%2Fbusiness%2Fstartups%2Fnews%2Fkavin-mittal-hike-looks-to-hire-computer-science-it-graduates-from-iits-nsit-nits%2Farticleshow%2F80560643.cms,26,5260,6384,1.62E+12,2,1,"mwk,n7j,n90,k1m,nyw,n7x,n7z,mwz,n8a,n8e,n8g,k2h,n8r,n8t,5jh,5ji,5jl,n9a,n9f,myf,5l2,8r7,mym,n9l,n9k,mzt,pa8,l85,mzu,mzz,hqc,l7n,l7m,l7o,l7r,l7z,pac,8u1,8u4,5o2,6ot,pam,pao,paq,pc3,qe4,paw,k86,6pc,k85,6pd,k88,k87,k89,6r3,pbq,pd3,pd2,pd5,pbs,pd4,pbr,pd9,hst,k98,pcf,k8d,k8c,k8f,k8e,pe0,k8g,k8j,pe2,k8i,k8l,pe4,k8m,pe8,k8p,k8o,pcx,k8r,pcw,k8q,pdd,5ps,pdr,pf4,pdt,pf9,jyq,pea,6u2,pel,pen,pg2,pg6,peu,h61,pg9,h69,pfe,pff,761,62v,pfy,fu2,pfz,63h,63i,h5y,qil,75x,75y,64h,ftx,40n,40v,41j,5w0,434,30b,d22,30d,42h,322,42s,30r,446,5vy,5vz,amg,30x,lbt,h9r,3si,31l,31m,ok3,32g,32h,qni,5xq,32m,32n,44u,32t,32u,qnt,32w,44y,32x,mgc,mgb,mge,mgd,mgg,mgf,592,qq3,597,qq5,apc,357,358,359,apo,qpe,58k,qph,lfe,481,qr0,2v6,2v8,488,on4,58x,q03,34x,lh7,qpz,lh6,on9,lh8,47b,35d,59j,35i,35j,qqm,qqo,47r,qqn,2w7,mk5,47z,omv,ic7,2va,2vb,2vc,2ve,2vf,2vh,2vi,2vk,qrg,2vl,onh,qrj,2x0,2x1,2x2,2vr,qrp,2vs,2x6,2vt,p01,2vu,p00,2vv,qrv,2vy,p07,2vz,ibp,p09,ibr,qrz,id3,id5,ibs,ibv,buq,cy9,2wl,2wp,icd,2ws,p12,2y7,icj,p16,lit,p18,ga1,lis,cxk,icp,icr,2xa,2xb,2xc,2xe,2xf,2xh,2xi,qte,p0e,cxz,aty,p0i,idc,qtk,2xp,2xq,p0j,ide,qtp,2xs,qtr,p20,idi,nnq,p0s,nnr,p0u,nnt,if1,nnv,if5,2ya,2yc,p1b,p1a,oqf,iec,quo,oqs,q57,ieq,p1u,p1x,ies,p1w,p1y,gau,iez,2zh,gbb,7e5,qvk,nr1,o20,o22,nr2,p2p,n00,o21,o24,p2r,n02,o23,p2u,o26,o25,o28,o27,o29,7dh,7di,7dm,p3d,7dn,5b2,o1i,igd,7du,o1j,o1m,7dx,o1l,nqp,7dy,o1o,nqo,o1n,nqr,n12,igm,o1q,nqq,o1p,lo4,nqt,o1s,igo,nqs,ii0,o1r,nqv,nqu,o1t,nqx,igs,o1w,nqw,5aa,o1v,nqz,o1y,nqy,o1x,ii9,o1z,5ag,8gl,qxc,o2b,o2a,o2c,8gp,otj,otk,8gv,8gw,qz1,5av,p63,5az,p4r,p64,p66,qxw,ov9,o3b,kmc,o3e,o3d,8j6,n1j,oum,oul,iif,kmk,ow0,oun,kmj,kml,5bz,kmn,p75,out,n36,n35,p5x,6ea,n37,oux,p5y,7gh,pxc,8ik,eav,ova,ovd,7gm,ovc,7gn,n2c,ove,8ip,8iq,ovh,n2d,8is,8k6,ovi,8it,8k7,8k8,ovk,eba,q8k,hhg,8k9,8ix,ox2,ovp,hhh,ovr,ovt,ijn,qzv,8ja,n2u,n47,8jb,8jc,n2w,n48,n2v,n3b,n3d,n3c,8jq,o5g,8l4,8js,o5f,n3i,n3l,p7m,n3n,n3p,oy5,oy7,mss,p98,oy9,8ka,n3s,8kb,n3v,p99,owx,n59,8kf,o6b,n4c,o6d,oxf,oxe,p8g,o6f,p8f,n4f,o6j,8kv,o6i,o6l,oxm,o6k,o6n,oxo,o6m,oxr,o6p,n4n,o6o,o6r,n4p,o6t,n64,n4r,o6v,oxx,n4t,o6u,p8y,oxz,o6x,ef2,p8x,n68,n4y,p8z,9nj,oyc,p9a,oyb,p9f,p9e,joa,jod,6hp,oyk,6hs,oyl,p9m,n5n,oyq,p9o,n72,jq0,mw3,oys,n71,p9q,oyr,p9t,n78,n5v,n77,n5u,p9w,oyx,n79,n5w,ozb,n6k,ozp,ozo,mvm,mvo,mx4,l40,ozs,l43,n86,ozw,n88,ozy,mwa,n7a,n7f,n7e,mwf,mwh",16,196055,129639,440,1802,203206,2,264494,278940,144,10,2706,1.62E+12,1.62E+12,360140,1,348011,348021,,,,,,"333,721,333,496,333,000",348005,,,,,,,,,TRUE
30431,01fd1a8a-c3f8-4b57-94ff-66318d0f63c7-1sjts,1.62E+12,3e01b8f0-43d6-4642-8fbb-fef170ca5a3a-631k,355768,21,,,144,XXX.XXX.XXX.XXX,5614054,53607445,1,1,,3296,,3370,1.62E+12,2,1,"761,75y",17,129311,129408,34703,1818,0,2,264496,136127,144,10,20789,1.62E+12,1.62E+12,360833,1,348011,348025,,,,,,,348009,,,1,275,1,,,,TRUE
75694,1db32d40-20e2-4365-a2fb-d4a0aba4f02f-10wj8,1.62E+12,188c1f51-b260-47db-9a27-588223897bdf-h0hg,321300,38,"2x6,8k6,8k8,8gv,2vk,8gw,o3b,8j1",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2Fjob-search.html,34,4140,6384,1.62E+12,2,1,"7dn,jyq,l7o,k1m,l7r,h98,nqp,oy7,nqo,2ws,lo4,nqx,o1v,o1y,o1x,5o2,o6b,o6d,oxf,oxe,o2a,k2h,o6j,2xi,o6l,p0e,30b,8gv,58k,8gw,oxr,761,9nj,8r7,6hp,o3b,8j1,h9r,6hs,35g,35i,oul,oun,out,2w7,5cc,p1u,p1x,p1w,43y,75y,ovd,k8i,ove,ovh,2vf,8k6,8k8,2vk,ozs,ovr,o20,ovt,qzv,ozw,ozy,2x6,7ha,p09,32z",16,196061,129639,10278,1808,200866,2,264496,136127,144,10,4223,1.62E+12,1.62E+12,0,1,348011,348020,,,,,,,348006,,,,,,,,,TRUE
75694,52251623-b731-48a0-be81-924789df8410-3ps4,1.62E+12,18d71177-d843-4f14-9ccb-8717e300fd94-10ol4,321554,39,"8k8,30r,8j8,2vk,8gw,joa,8kq,o3b",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2FApplyJobs.html,34,4144,6384,1.62E+12,2,1,"7dm,7dn,jyq,7du,l3r,o1l,l3q,o1o,o1n,nyw,nqo,lo4,qq3,nqu,598,nqw,o1v,apc,o1y,358,o1x,ea4,k2h,o2c,58k,8gw,5au,qz1,761,on4,8r7,o3b,kmc,o3d,8j8,59j,oul,35i,kmk,kmj,oun,kmm,kmn,5bz,out,7gb,2w7,5cc,75y,ovc,ove,ovh,8k8,hhg,2vk,ovr,ovt,qzz,p09,id3,40x,ibv,o5g,ica,oy5,oy7,41j,oy9,2ws,p12,5o2,o6b,2xa,8ko,o6d,oxf,oxe,o6f,8kq,o6j,o6l,30b,oxr,p0i,2xp,2xs,9nj,30r,446,6r3,5vy,5vz,joa,6hp,p1b,h9r,6hs,quo,p1u,p1x,p1w,k8f,43y,gau,k8g,k8i,k8l,k8o,ozs,o20,nr1,ozw,o22,o21,nr2,o23,o26,44t,qnt",16,196058,129639,0,0,202038,2,264495,151530,144,10,17825,1.62E+12,1.62E+12,199452,1,348011,,,,,,,333496,,,,,,,,,,TRUE
75694,f1e2610e-8073-46ff-8e8b-30f66e02d31f-1sjzc,1.62E+12,1b1f4282-0076-43b5-bcb2-5c121a7a4660-1sjwk,321554,39,"8gw,o3b",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2FextJobApply.html,34,4144,6384,1.62E+12,2,1,"7dn,6hs,35g,oul,nqo,2ws,lo4,2w7,5cc,p1u,p1w,5o2,43y,o6b,75y,ova,oxf,k8i,ove,ovh,o6j,p0e,30b,58k,8gw,ozs,ovr,o20,qzv,ovt,761,9nj,6hp,o3b",16,196058,129639,439,1815,202038,2,264494,266737,144,10,2131,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,,348007,,,,,,,,,TRUE
75694,d35dde2d-1870-4a2f-8931-f86d7fc4d2e5-6m3o,1.62E+12,1c2cab34-e130-4bcf-8831-69e7908e657b-10oic,322232,39,"8gw,3si,o3b",2.79,144,XXX.XXX.XXX.XXX,5488088,49504155,6,2320,https%3A%2F%2Fjobbuzz.timesjobs.com%2Finterview,34,4065,6384,1.62E+12,2,1,"7dn,nqo,2ws,8ka,lo4,p12,p16,p18,5o2,o6b,oxf,oxe,o6j,o6l,30b,5c3,aty,58k,8gw,k89,qv5,761,ov9,on4,9nj,58x,5vy,5vz,6hp,o3b,6hs,35g,oum,oul,3si,2w7,497,5cc,p1u,p1x,43y,75y,ovd,k8i,k8q,qvk,ozs,ovr,o20,ovt,2vs,ibp,5ps",16,196061,129639,438,1818,200866,2,264494,133765,144,10,2584,1.62E+12,1.62E+12,0,1,348011,348025,,,,,,128491,348009,,,,,,,,,TRUE
75694,f2eb7a65-8ca7-49d8-95ec-61eb4c398fd1-3rh8,1.62E+12,1e003896-2476-4baf-b223-4f166ffb6990-10nns,322232,39,"8gw,o3b,joc",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,46,2320,https%3A%2F%2Fjobbuzz.timesjobs.com%2Finterview%2Fadministration-administration,34,4065,6384,1.62E+12,2,1,"7dn,2wl,mgc,mgb,mge,mgd,mgg,mgf,nqo,2ws,lo4,p12,357,5o2,o6b,kpb,oxf,o6d,oxe,kpa,o6f,kpd,kpc,o2a,kpf,kpe,o6j,o6l,30b,2xm,p0i,oxr,58k,8gw,qph,p0j,oxz,qxw,761,on4,9nj,6hp,o3b,joc,oyk,kmc,6hs,oyl,35g,oum,oyq,oul,kmk,oun,kmj,kmm,kml,kmn,out,2w7,2w8,p1u,5cc,p1x,43y,75y,k8j,k8i,ozs,ovr,o20,ovt,80t",16,196063,129639,10240,1802,202038,2,264494,147570,144,10,3029,1.62E+12,1.62E+12,199414,1,348011,348021,,,,,,,348005,,,,,,,,,TRUE
75694,c6456029-6b0a-4c49-8c2d-78f7c4a8c07c-6m6g,1.62E+12,ed5cd158-06f0-4b8c-a3ae-dbd045841766-10ocs,129239,37,"8kv,2vk,8gw,2vl",2.79,144,XXX.XXX.XXX.XXX,5488773,49504154,1,15240,https%3A%2F%2Fwww.cricbuzz.com%2Flive-cricket-scores%2F35538%2Fsll-vs-rsal-semi-final-2-road-safety-world-series-t20-2020-21,178,663,6384,1.62E+12,2,1,"h9r,35j,7dx,592,lo4,5o2,gau,75y,k8l,2ve,k8p,8kv,30b,8k9,2vk,58k,8gw,2vl,l85,nr2,40n,761,o28,9nj,ibs",16,196058,129639,435,129163,202038,2,264494,266737,144,10,1694,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,,348008,,,,,,,,,TRUE
75694,b28dc420-2467-4623-8532-312c844b7616-62qg,1.62E+12,24769a7b-704c-4660-8793-c4be0d3f75df-10oa0,321554,38,"8gw,o3b",2.79,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2FextJobApply.html,34,4144,6384,1.62E+12,2,1,"p1b,7dn,6hs,35g,nqo,2ws,lo4,p12,2w7,5cc,p1x,5o2,43y,o6b,75y,oxf,k8i,oxe,o6j,o6l,30b,58k,8gw,oxr,ozs,ovr,o20,ovt,761,9nj,6hp,o3b",16,196058,129639,436,1806,202038,2,264494,266737,144,10,2099,1.62E+12,1.62E+12,199452,1,348011,348022,,,,,,,348007,,,,,,,,,TRUE
75694,c6456029-6b0a-4c49-8c2d-78f7c4a8c07c-6m6g,1.62E+12,ed5cd158-06f0-4b8c-a3ae-dbd045841766-10ocs,129239,37,"8kv,2vk,8gw,2vl",2.79,144,XXX.XXX.XXX.XXX,5488773,49504154,1,15240,https%3A%2F%2Fwww.cricbuzz.com%2Flive-cricket-scores%2F35538%2Fsll-vs-rsal-semi-final-2-road-safety-world-series-t20-2020-21,178,663,6384,1.62E+12,2,1,"h9r,35j,7dx,592,lo4,5o2,gau,75y,k8l,2ve,k8p,8kv,30b,8k9,2vk,58k,8gw,2vl,l85,nr2,40n,761,o28,9nj,ibs",16,196058,129639,435,129163,202038,2,264494,266737,144,10,747,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,,348008,,,,,,,,,TRUE
75694,b303ca87-cbed-45c1-b0bb-4e41b3925b35-10nqk,1.62E+12,ed00144e-66e2-49b4-8e50-87120e64d6f3-1sjfw,356952,38,,2.79,144,XXX.XXX.XXX.XXX,5488088,49504155,1,85030,https%3A%2F%2Fwww.olx.in%2F,3290,5167,6384,1.62E+12,2,1,"oyk,hkf,o6l,p0e,oul,oxr,ozs,ovr,ovt,5xq,nr2,761,o28,9nj,p1u,qnt,o6b,75y,o6d",16,129300,129639,347087,1812,202038,2,264503,172725,144,10,2816,1.62E+12,1.62E+12,199522,1,348011,348027,,,,,,,,,,,,,,,,TRUE
